player,xg,goals,position,ball_recoveries,aerials_won,touches,miscontrols
Lionel Messi,6.6,7,FW,22.0,2.0,460.0,13.0
Kylian Mbappé,5.2,8,FW,20.0,1.0,325.0,21.0
Olivier Giroud,3.4,4,FW,7.0,19.0,111.0,5.0
Robert Lewandowski,2.9,2,FW,14.0,16.0,153.0,16.0
Harry Kane,2.7,2,FW,16.0,9.0,138.0,10.0
Neymar,2.7,2,MF,11.0,0.0,203.0,8.0
Julián Álvarez,2.6,4,FW,21.0,2.0,174.0,11.0
Enner Valencia,2.3,3,FW,8.0,2.0,98.0,15.0
Breel Embolo,2.3,2,FW,6.0,2.0,92.0,10.0
Niclas Füllkrug,2.2,2,FW,2.0,4.0,38.0,2.0
Richarlison,2.1,3,FW,13.0,4.0,97.0,12.0
Jamal Musiala,1.9,0,MF,19.0,1.0,163.0,11.0
Salem Al-Dawsari,1.8,2,MF,16.0,1.0,146.0,13.0
Lautaro Martínez,1.8,0,FW,13.0,6.0,96.0,9.0
Ismaila Sarr,1.7,1,FW,17.0,8.0,133.0,12.0
Romelu Lukaku,1.7,0,FW,1.0,1.0,16.0,1.0
Gonçalo Ramos,1.6,3,FW,2.0,4.0,55.0,7.0
Marcus Rashford,1.6,3,FW,8.0,1.0,92.0,4.0
Aleksandar Mitrović,1.6,2,FW,6.0,5.0,95.0,6.0
Andrej Kramarić,1.6,2,FW,18.0,0.0,215.0,7.0
Cristiano Ronaldo,1.6,1,FW,6.0,8.0,116.0,9.0
Memphis,1.5,1,FW,10.0,2.0,165.0,10.0
Álvaro Morata,1.4,3,FW,2.0,1.0,58.0,2.0
Kai Havertz,1.4,2,FW,3.0,0.0,46.0,4.0
Dani Olmo,1.4,1,FW,15.0,0.0,257.0,11.0
Mehdi Taremi,1.3,2,FW,13.0,5.0,123.0,7.0
Giorgian De Arrascaeta,1.2,2,MF,7.0,0.0,69.0,4.0
Youssef En-Nesyri,1.2,2,FW,13.0,21.0,127.0,9.0
Marco Asensio,1.2,1,FW,3.0,0.0,150.0,12.0
Raphinha,1.2,0,FW,11.0,0.0,189.0,6.0
Bruno Fernandes,1.1,2,FW,23.0,2.0,266.0,7.0
Cho Guesung,1.1,2,FW,4.0,21.0,88.0,5.0
Adrien Rabiot,1.1,1,MF,30.0,15.0,350.0,5.0
Alphonso Davies,1.1,1,MF,14.0,3.0,156.0,11.0
André Ayew,1.1,1,MF,6.0,3.0,61.0,5.0
Christian Pulisic,1.1,1,FW,11.0,2.0,187.0,12.0
Manuel Akanji,1.1,1,DF,18.0,9.0,287.0,0.0
Phil Foden,1.1,1,FW,9.0,3.0,143.0,7.0
Randal Kolo Muani,1.1,1,FW,9.0,9.0,76.0,8.0
Serge Gnabry,1.1,1,FW,11.0,0.0,148.0,4.0
İlkay Gündoğan,1.1,1,MF,18.0,3.0,187.0,4.0
Ferrán Torres,1.0,2,FW,8.0,0.0,115.0,9.0
Ao Tanaka,1.0,1,MF,9.0,3.0,84.0,1.0
Vinicius Júnior,1.0,1,FW,12.0,0.0,132.0,8.0
Zakaria Aboukhlal,1.0,1,FW,3.0,2.0,26.0,3.0
Andreas Cornelius,1.0,0,FW,2.0,11.0,48.0,4.0
Jonathan David,1.0,0,FW,5.0,1.0,84.0,8.0
Kieffer Moore,1.0,0,FW,7.0,11.0,95.0,10.0
Nicolás Tagliafico,1.0,0,DF,12.0,4.0,220.0,1.0
Frenkie de Jong,0.9,1,MF,30.0,8.0,408.0,5.0
Henry Martín,0.9,1,FW,4.0,3.0,35.0,5.0
Hwang Hee-chan,0.9,1,MF,7.0,0.0,84.0,5.0
Ivan Perišić,0.9,1,FW,31.0,17.0,378.0,18.0
Jean-Charles Castelletto,0.9,1,DF,9.0,3.0,109.0,1.0
João Félix,0.9,1,FW,9.0,2.0,153.0,5.0
Rodrigo De Paul,0.9,0,MF,42.0,2.0,625.0,9.0
Sardar Azmoun,0.9,0,FW,3.0,4.0,40.0,0.0
Tajon Buchanan,0.9,0,MF,14.0,1.0,131.0,8.0
Kudus Mohammed,0.8,2,FW,22.0,0.0,118.0,4.0
Dušan Vlahović,0.8,1,FW,3.0,2.0,19.0,3.0
Eric Maxim Choupo-Moting,0.8,1,FW,8.0,11.0,87.0,7.0
Gareth Bale,0.8,1,FW,9.0,4.0,68.0,4.0
Kim Young-gwon,0.8,1,DF,13.0,6.0,232.0,0.0
Lucas Paquetá,0.8,1,MF,13.0,3.0,229.0,5.0
Marko Livaja,0.8,1,FW,10.0,4.0,83.0,7.0
Michy Batshuayi,0.8,1,FW,4.0,1.0,42.0,5.0
Mohammed Salisu,0.8,1,DF,15.0,8.0,184.0,1.0
Ricardo Horta,0.8,1,FW,6.0,0.0,55.0,2.0
Romain Saïss,0.8,1,DF,28.0,7.0,248.0,0.0
Ángel Di María,0.8,1,MF,7.0,0.0,201.0,10.0
Alexis Vega,0.8,0,FW,16.0,1.0,85.0,6.0
Alistair Johnston,0.8,0,DF,16.0,4.0,209.0,4.0
Antonio Rüdiger,0.8,0,DF,20.0,6.0,273.0,1.0
Dries Mertens,0.8,0,MF,2.0,0.0,39.0,1.0
Alexis Mac Allister,0.7,1,MF,40.0,5.0,332.0,7.0
Boulaye Dia,0.7,1,FW,7.0,5.0,81.0,9.0
Lovro Majer,0.7,1,MF,10.0,0.0,122.0,5.0
Takuma Asano,0.7,1,FW,8.0,1.0,49.0,7.0
Antoine Griezmann,0.7,0,MF,34.0,5.0,381.0,6.0
Bruno Guimarães,0.7,0,MF,6.0,1.0,67.0,3.0
Bukayo Saka,0.6,3,FW,13.0,1.0,147.0,3.0
Vincent Aboubakar,0.6,2,FW,3.0,2.0,50.0,3.0
Achraf Dari,0.6,1,DF,10.0,5.0,139.0,0.0
Jack Grealish,0.6,1,FW,6.0,0.0,71.0,1.0
Jude Bellingham,0.6,1,MF,31.0,6.0,324.0,8.0
Piotr Zieliński,0.6,1,MF,17.0,0.0,178.0,2.0
Timothy Weah,0.6,1,FW,10.0,2.0,132.0,9.0
Daichi Kamada,0.6,0,FW,10.0,3.0,139.0,4.0
Rodrigo Bentancur,0.6,0,MF,35.0,6.0,197.0,6.0
Ritsu Doan,0.5,2,FW,11.0,1.0,95.0,7.0
Bamba Dieng,0.5,1,FW,4.0,2.0,32.0,4.0
Carlos Soler,0.5,1,MF,3.0,0.0,88.0,0.0
Daizen Maeda,0.5,1,FW,4.0,1.0,31.0,2.0
Haji Wright,0.5,1,FW,4.0,6.0,44.0,2.0
Juan Pablo Vargas,0.5,1,DF,5.0,1.0,41.0,1.0
Kalidou Koulibaly,0.5,1,DF,28.0,11.0,260.0,1.0
Moisés Caicedo,0.5,1,MF,14.0,1.0,173.0,3.0
Nahuel Molina,0.5,1,DF,23.0,0.0,398.0,6.0
Osman Bukari,0.5,1,MF,2.0,1.0,29.0,1.0
Remo Freuler,0.5,1,MF,19.0,1.0,197.0,12.0
Amadou Onana,0.5,0,MF,7.0,2.0,74.0,4.0
Hiroki Sakai,0.5,0,MF,6.0,3.0,70.0,1.0
Hwang Ui-jo,0.5,0,FW,3.0,1.0,18.0,2.0
Issam Jebali,0.5,0,FW,8.0,2.0,60.0,8.0
Jackson Irvine,0.5,0,MF,11.0,9.0,170.0,5.0
Leon Goretzka,0.5,0,MF,12.0,3.0,72.0,2.0
Marcelo Brozović,0.5,0,MF,45.0,6.0,594.0,5.0
Martinelli,0.5,0,FW,5.0,0.0,70.0,4.0
Ousmane Dembélé,0.5,0,FW,26.0,2.0,241.0,8.0
Pedro,0.5,0,FW,2.0,0.0,25.0,3.0
Steven Bergwijn,0.5,0,FW,4.0,0.0,85.0,4.0
Walid Cheddira,0.5,0,FW,0.0,2.0,18.0,3.0
Youssef Msakni,0.5,0,MF,9.0,3.0,95.0,5.0
Rafael Leão,0.4,2,FW,5.0,1.0,63.0,5.0
Andreas Christensen,0.4,1,DF,20.0,6.0,280.0,2.0
Casemiro,0.4,1,MF,22.0,3.0,302.0,1.0
Daley Blind,0.4,1,DF,24.0,5.0,339.0,2.0
Denzel Dumfries,0.4,1,DF,16.0,9.0,274.0,13.0
Hakim Ziyech,0.4,1,FW,29.0,3.0,386.0,15.0
Keysher Fuller,0.4,1,DF,11.0,0.0,92.0,4.0
Mislav Oršić,0.4,1,FW,4.0,0.0,81.0,7.0
Mitchell Duke,0.4,1,FW,11.0,11.0,96.0,11.0
Pepe,0.4,1,DF,28.0,9.0,330.0,1.0
Raheem Sterling,0.4,1,FW,8.0,1.0,68.0,6.0
Raphaël Guerreiro,0.4,1,DF,17.0,2.0,207.0,1.0
Theo Hernández,0.4,1,DF,30.0,8.0,383.0,6.0
Wahbi Khazri,0.4,1,FW,5.0,0.0,36.0,3.0
Yeltsin Tejeda,0.4,1,MF,14.0,4.0,128.0,1.0
Abderrazak Hamdallah,0.4,0,FW,4.0,1.0,28.0,4.0
Almoez Ali,0.4,0,FW,6.0,2.0,66.0,6.0
Darwin Núñez,0.4,0,FW,6.0,5.0,85.0,11.0
Gabriel Jesus,0.4,0,FW,2.0,1.0,39.0,2.0
Garang Kuol,0.4,0,FW,0.0,1.0,10.0,1.0
Harry Maguire,0.4,0,DF,17.0,15.0,445.0,0.0
Ibrahima Konaté,0.4,0,DF,14.0,5.0,283.0,3.0
Jakub Kamiński,0.4,0,MF,17.0,0.0,88.0,4.0
John Stones,0.4,0,DF,17.0,6.0,475.0,1.0
Josh Sargent,0.4,0,FW,1.0,3.0,48.0,5.0
Joshua Kimmich,0.4,0,MF,19.0,4.0,301.0,3.0
Kasper Dolberg,0.4,0,FW,3.0,0.0,34.0,9.0
Luis Suárez,0.4,0,FW,3.0,2.0,52.0,2.0
Luka Modrić,0.4,0,MF,51.0,3.0,615.0,12.0
Mohammed Al-Breik,0.4,0,DF,3.0,1.0,57.0,1.0
Nikola Vlašić,0.4,0,FW,10.0,2.0,80.0,5.0
Rodrygo,0.4,0,MF,11.0,0.0,152.0,9.0
Son Heung-min,0.4,0,FW,16.0,0.0,158.0,8.0
Weston McKennie,0.4,0,MF,14.0,3.0,177.0,2.0
Cody Gakpo,0.3,3,FW,19.0,5.0,205.0,16.0
Aurélien Tchouaméni,0.3,1,MF,44.0,5.0,533.0,11.0
Craig Goodwin,0.3,1,MF,14.0,1.0,118.0,2.0
Enzo Fernández,0.3,1,MF,39.0,9.0,533.0,9.0
Luis Chávez,0.3,1,MF,15.0,5.0,171.0,1.0
Ramin Rezaeian,0.3,1,DF,22.0,1.0,130.0,7.0
Xherdan Shaqiri,0.3,1,FW,6.0,1.0,111.0,1.0
Abdelkarim Hassan,0.3,0,DF,11.0,3.0,193.0,2.0
Azzedine Ounahi,0.3,0,MF,38.0,1.0,328.0,16.0
Ben Davies,0.3,0,DF,20.0,7.0,184.0,1.0
Dejan Lovren,0.3,0,DF,31.0,17.0,515.0,1.0
Edinson Cavani,0.3,0,FW,6.0,2.0,44.0,3.0
Fred,0.3,0,MF,7.0,0.0,98.0,3.0
Granit Xhaka,0.3,0,MF,21.0,7.0,273.0,2.0
Idrissa Gana Gueye,0.3,0,MF,15.0,2.0,155.0,2.0
Iñaki Williams,0.3,0,FW,9.0,1.0,63.0,5.0
Jesper Lindstrøm,0.3,0,MF,8.0,1.0,81.0,8.0
Jonas Hofmann,0.3,0,FW,0.0,0.0,24.0,0.0
Kim Jin-su,0.3,0,DF,12.0,10.0,175.0,4.0
Mario Pašalić,0.3,0,FW,21.0,7.0,132.0,6.0
Mateo Kovačić,0.3,0,MF,46.0,4.0,521.0,10.0
Michael Estrada,0.3,0,FW,5.0,13.0,71.0,6.0
Mohamed Kanno,0.3,0,MF,19.0,8.0,184.0,6.0
Nicolas Nkoulou,0.3,0,DF,11.0,2.0,115.0,1.0
Orbelín Pineda,0.3,0,MF,4.0,0.0,46.0,3.0
Raphaël Varane,0.3,0,DF,17.0,4.0,322.0,0.0
Ruben Vargas,0.3,0,FW,11.0,3.0,140.0,6.0
Sofiane Boufal,0.3,0,FW,20.0,3.0,199.0,14.0
Steven Berghuis,0.3,0,MF,8.0,1.0,141.0,1.0
Thomas Müller,0.3,0,FW,1.0,1.0,91.0,4.0
Tim Ream,0.3,0,DF,19.0,6.0,305.0,4.0
Yannick Carrasco,0.3,0,FW,8.0,0.0,68.0,2.0
Yunus Musah,0.3,0,MF,23.0,3.0,221.0,5.0
Wout Weghorst,0.2,2,FW,2.0,2.0,22.0,1.0
Davy Klaassen,0.2,1,MF,14.0,2.0,96.0,4.0
Famara Diedhiou,0.2,1,FW,3.0,5.0,24.0,2.0
Jordan Henderson,0.2,1,MF,12.0,2.0,179.0,1.0
Mohammed Muntari,0.2,1,FW,4.0,3.0,28.0,1.0
Sergej Milinković-Savić,0.2,1,MF,18.0,3.0,158.0,7.0
Strahinja Pavlović,0.2,1,DF,18.0,12.0,186.0,4.0
Alireza Jahanbakhsh,0.2,0,MF,1.0,0.0,27.0,1.0
Andreas Skov Olsen,0.2,0,FW,3.0,1.0,76.0,4.0
Ante Budimir,0.2,0,FW,0.0,2.0,12.0,1.0
Antony,0.2,0,FW,12.0,1.0,145.0,6.0
Arkadiusz Milik,0.2,0,FW,3.0,4.0,39.0,3.0
Bernardo Silva,0.2,0,MF,32.0,1.0,309.0,4.0
Brennan Johnson,0.2,0,FW,3.0,0.0,33.0,3.0
Bryan Mbeumo,0.2,0,FW,7.0,5.0,106.0,6.0
Christian Eriksen,0.2,0,MF,30.0,0.0,253.0,6.0
Christian Fassnacht,0.2,0,FW,2.0,0.0,12.0,0.0
Cyle Larin,0.2,0,FW,4.0,2.0,44.0,5.0
César Montes,0.2,0,DF,13.0,7.0,222.0,2.0
Dani Alves,0.2,0,DF,9.0,1.0,113.0,1.0
Daniel Amartey,0.2,0,DF,15.0,5.0,172.0,0.0
Djibril Sow,0.2,0,MF,9.0,1.0,115.0,4.0
Ehsan Hajsafi,0.2,0,MF,10.0,2.0,118.0,2.0
Facundo Pellistri,0.2,0,MF,9.0,0.0,66.0,2.0
Federico Valverde,0.2,0,MF,19.0,1.0,225.0,6.0
Fran Karačić,0.2,0,DF,9.0,4.0,69.0,1.0
Gleison Bremer,0.2,0,DF,9.0,5.0,95.0,1.0
Haris Seferović,0.2,0,FW,1.0,0.0,20.0,2.0
Hidemasa Morita,0.2,0,MF,21.0,5.0,192.0,4.0
Hirving Lozano,0.2,0,FW,14.0,1.0,109.0,10.0
Hwang In-beom,0.2,0,MF,22.0,2.0,276.0,4.0
Héctor Moreno,0.2,0,DF,14.0,5.0,210.0,2.0
Jan Vertonghen,0.2,0,DF,15.0,11.0,290.0,0.0
José María Giménez,0.2,0,DF,13.0,8.0,213.0,2.0
Jules Koundé,0.2,0,DF,25.0,5.0,352.0,3.0
Junya Ito,0.2,0,MF,17.0,3.0,134.0,6.0
Kamil Glik,0.2,0,DF,11.0,4.0,167.0,0.0
Karl Toko Ekambi,0.2,0,FW,8.0,1.0,66.0,3.0
Kendall Waston,0.2,0,DF,10.0,4.0,107.0,1.0
Kevin De Bruyne,0.2,0,FW,11.0,4.0,163.0,7.0
Kingsley Coman,0.2,0,FW,12.0,2.0,102.0,6.0
Ko Itakura,0.2,0,DF,13.0,0.0,150.0,4.0
Krystian Bielik,0.2,0,MF,10.0,6.0,129.0,1.0
Lee Kangin,0.2,0,MF,6.0,0.0,91.0,2.0
Marcus Thuram,0.2,0,FW,7.0,8.0,74.0,5.0
Marquinhos,0.2,0,DF,28.0,4.0,392.0,2.0
Mason Mount,0.2,0,MF,7.0,0.0,91.0,6.0
Mohamed Dräger,0.2,0,DF,2.0,1.0,70.0,5.0
Nayef Aguerd,0.2,0,DF,18.0,5.0,185.0,1.0
Nikola Milenković,0.2,0,DF,18.0,6.0,198.0,2.0
Noussair Mazraoui,0.2,0,DF,21.0,1.0,175.0,6.0
Pierre Kunde,0.2,0,MF,13.0,1.0,70.0,2.0
Saman Ghoddos,0.2,0,MF,1.0,0.0,24.0,2.0
Selim Amallah,0.2,0,MF,12.0,2.0,145.0,15.0
Sergiño Dest,0.2,0,DF,13.0,1.0,250.0,9.0
Shogo Taniguchi,0.2,0,DF,8.0,8.0,105.0,0.0
Stephen Eustáquio,0.2,0,MF,10.0,1.0,109.0,0.0
Sultan Al-Ghanam,0.2,0,DF,4.0,0.0,68.0,4.0
Thiago Silva,0.2,0,DF,17.0,6.0,368.0,2.0
Thomas Meunier,0.2,0,DF,13.0,2.0,167.0,2.0
Thomas Partey,0.2,0,MF,21.0,6.0,220.0,5.0
Uriel Antuna,0.2,0,FW,1.0,0.0,33.0,6.0
Virgil van Dijk,0.2,0,DF,31.0,13.0,399.0,2.0
Wataru Endo,0.2,0,MF,22.0,8.0,239.0,2.0
Yahya Attiat Allah,0.2,0,DF,21.0,0.0,167.0,2.0
Youssouf Fofana,0.2,0,MF,17.0,1.0,138.0,3.0
Yuki Soma,0.2,0,FW,2.0,0.0,26.0,2.0
Éder Militão,0.2,0,DF,29.0,4.0,306.0,6.0
Bruno Petković,0.1,1,FW,9.0,8.0,101.0,7.0
Gavi,0.1,1,MF,7.0,2.0,183.0,8.0
Joško Gvardiol,0.1,1,DF,48.0,3.0,601.0,1.0
Mathew Leckie,0.1,1,MF,15.0,14.0,157.0,15.0
Roozbeh Cheshmi,0.1,1,DF,4.0,1.0,19.0,1.0
Saleh Al-Shehri,0.1,1,FW,7.0,6.0,73.0,8.0
Abdelhamid Sabiri,0.1,0,MF,7.0,2.0,86.0,0.0
Abdessamad Ezzalzouli,0.1,0,FW,4.0,1.0,40.0,9.0
Abdulelah Al-Amri,0.1,0,DF,15.0,10.0,129.0,1.0
Abdulellah Al-Malki,0.1,0,MF,9.0,0.0,105.0,3.0
Abdulrahman Al-Aboud,0.1,0,MF,1.0,1.0,22.0,2.0
Achraf Hakimi,0.1,0,DF,46.0,5.0,478.0,17.0
Ahmad Nourollahi,0.1,0,MF,15.0,1.0,85.0,3.0
Alexander Bah,0.1,0,DF,3.0,4.0,65.0,0.0
Ali Al Hassan,0.1,0,MF,1.0,0.0,15.0,1.0
Andre-Frank Zambo Anguissa,0.1,0,MF,16.0,4.0,159.0,5.0
Andrija Živković,0.1,0,DF,11.0,2.0,118.0,4.0
Anis Ben Slimane,0.1,0,MF,5.0,5.0,72.0,8.0
Atiba Hutchinson,0.1,0,MF,10.0,5.0,131.0,1.0
Axel Disasi,0.1,0,DF,4.0,4.0,90.0,0.0
Aziz Behich,0.1,0,DF,22.0,2.0,249.0,5.0
Aïssa Laïdouni,0.1,0,MF,25.0,3.0,156.0,4.0
Borna Sosa,0.1,0,DF,14.0,4.0,333.0,6.0
Brenden Aaronson,0.1,0,MF,9.0,0.0,78.0,8.0
Diego Godín,0.1,0,DF,6.0,8.0,116.0,0.0
Dušan Tadić,0.1,0,MF,10.0,0.0,150.0,8.0
Dylan Bronn,0.1,0,DF,7.0,2.0,104.0,0.0
Eden Hazard,0.1,0,MF,7.0,1.0,70.0,5.0
Ellyes Skhiri,0.1,0,MF,18.0,1.0,161.0,4.0
Exequiel Palacios,0.1,0,MF,6.0,0.0,34.0,0.0
Fabian Schär,0.1,0,DF,7.0,4.0,100.0,1.0
Firas Al-Buraikan,0.1,0,MF,7.0,5.0,94.0,4.0
Félix Torres Caicedo,0.1,0,DF,17.0,9.0,233.0,2.0
Germán Pezzella,0.1,0,DF,1.0,0.0,47.0,0.0
Gio Reyna,0.1,0,FW,1.0,2.0,42.0,1.0
Gonzalo Plata,0.1,0,MF,10.0,5.0,133.0,9.0
Harry Souttar,0.1,0,DF,17.0,14.0,213.0,1.0
Harry Wilson,0.1,0,MF,10.0,1.0,81.0,3.0
Iliman Ndiaye,0.1,0,FW,4.0,0.0,44.0,1.0
Jackson Porozo,0.1,0,DF,2.0,1.0,58.0,0.0
Jawad El Yamiq,0.1,0,DF,20.0,6.0,202.0,2.0
Jeremy Sarmiento,0.1,0,MF,6.0,2.0,44.0,2.0
Jesús Gallardo,0.1,0,DF,14.0,1.0,167.0,5.0
Joachim Andersen,0.1,0,DF,15.0,10.0,281.0,1.0
Joe Allen,0.1,0,MF,9.0,0.0,51.0,5.0
Jonathan Osorio,0.1,0,MF,5.0,0.0,68.0,2.0
Jordan Ayew,0.1,0,FW,8.0,0.0,68.0,5.0
Junior Hoilett,0.1,0,FW,8.0,0.0,78.0,5.0
Kamaldeen Sulemana,0.1,0,FW,0.0,2.0,28.0,1.0
Kaoru Mitoma,0.1,0,MF,17.0,2.0,100.0,5.0
Karim Ansarifard,0.1,0,FW,0.0,0.0,11.0,2.0
Kim Min-jae,0.1,0,DF,14.0,10.0,213.0,1.0
Krépin Diatta,0.1,0,FW,11.0,2.0,88.0,7.0
Leander Dendoncker,0.1,0,DF,6.0,2.0,142.0,1.0
Leroy Sané,0.1,0,FW,6.0,1.0,68.0,0.0
Lisandro Martínez,0.1,0,DF,6.0,3.0,188.0,1.0
Luka Jović,0.1,0,FW,0.0,1.0,14.0,0.0
Luke Shaw,0.1,0,DF,21.0,3.0,419.0,5.0
Luuk de Jong,0.1,0,FW,2.0,3.0,19.0,0.0
Marcos Acuña,0.1,0,DF,16.0,5.0,269.0,7.0
Mario Götze,0.1,0,MF,0.0,0.0,31.0,2.0
Martin Braithwaite,0.1,0,FW,1.0,1.0,24.0,2.0
Martin Hongla,0.1,0,MF,3.0,1.0,73.0,0.0
Mathias Jensen,0.1,0,MF,5.0,1.0,76.0,2.0
Mathías Olivera,0.1,0,DF,15.0,6.0,178.0,7.0
Matías Vecino,0.1,0,MF,18.0,3.0,130.0,3.0
Maxi Gómez,0.1,0,FW,0.0,2.0,9.0,0.0
Mehdi Torabi,0.1,0,MF,6.0,0.0,48.0,2.0
Morteza Pouraliganji,0.1,0,DF,16.0,9.0,156.0,1.0
Nampalys Mendy,0.1,0,MF,18.0,0.0,182.0,4.0
Nawaf Al Abed,0.1,0,MF,2.0,0.0,51.0,6.0
Naïm Sliti,0.1,0,MF,8.0,1.0,67.0,4.0
Neco Williams,0.1,0,DF,16.0,2.0,138.0,6.0
Nemanja Radonjić,0.1,0,DF,6.0,0.0,36.0,2.0
Nico Elvedi,0.1,0,DF,15.0,2.0,165.0,1.0
Nico Williams,0.1,0,FW,7.0,1.0,88.0,9.0
Niklas Süle,0.1,0,DF,17.0,6.0,268.0,0.0
Otávio,0.1,0,MF,16.0,1.0,145.0,4.0
Pablo Sarabia,0.1,0,FW,0.0,0.0,6.0,0.0
Pape Gueye,0.1,0,MF,5.0,5.0,81.0,3.0
Pape Matar Sarr,0.1,0,MF,3.0,1.0,54.0,0.0
Pervis Estupiñán,0.1,0,DF,21.0,3.0,217.0,4.0
Richie Laryea,0.1,0,DF,11.0,0.0,73.0,4.0
Riley McGree,0.1,0,FW,11.0,1.0,107.0,8.0
Rogelio Funes Mori,0.1,0,FW,0.0,0.0,2.0,0.0
Romario Ibarra,0.1,0,MF,3.0,0.0,23.0,3.0
